매장,메인분류,서브분류,상품명,가격,이미지,이벤트상품,비고
CU,간편식사,도시락,도)시그니처중화비빔밥,4300,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809948341853.jpg,,
CU,간편식사,도시락,도)시그니처매콤짜장덮밥,4300,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809196617977.jpg,,
CU,간편식사,도시락,도)한돈듬뿍김치제육,4200,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809948341631.jpg,,
CU,간편식사,도시락,면)나폴리탄소시지파스타,4200,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771028710.jpg,,
CU,간편식사,도시락,면)미트볼로제치즈파스타,4600,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771028697.jpg,,
CU,간편식사,도시락,샐)닭가슴살단호박샐러드,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809954750052.jpg,,
CU,간편식사,도시락,샐)살사푸실리고구마샐러,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809954750045.jpg,,
CU,간편식사,도시락,샐)뉴치킨찹찹샐러드,3800,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068916720.jpg,,
CU,간편식사,도시락,샐)뉴흑임자치킨샐러드,3800,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068916751.jpg,,
CU,간편식사,도시락,샐)뉴에그가먼저닭샐러드,3800,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068916737.jpg,,
CU,간편식사,도시락,면)반반함박토마토파스타,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771028031.jpg,,
CU,간편식사,도시락,도)자이언트고추마요치킨,9900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771028253.jpg,,
CU,간편식사,도시락,도)스팸돈까스정식,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809196617892.jpg,,
CU,간편식사,도시락,샐)훈제오리보양샐러드,5600,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771027812.jpg,,
CU,간편식사,도시락,도)매콤닭가슴살정식,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809196617816.jpg,,
CU,간편식사,도시락,도)자이언트치즈킹닭강정,9900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771027454.jpg,,
